CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2019-00034723,32 PUTNAM ST,04/17/2019 12:10:00 PM,4,2019,City Ordinance Violation,Not Used,No violations,0,ITavarez
2019-00034721,380 HOPE ST,04/17/2019 12:02:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034719,63 GODDARD ST,04/17/2019 11:59:32 AM,4,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,AElie
2019-00034718,181 VALLEY ST,04/17/2019 11:49:57 AM,4,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,JRodrigues
2019-00034715,DEXTER ST & CRANSTON ST,04/17/2019 11:46:00 AM,4,2019,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,Central Station
2019-00034714,FRIENDSHIP ST / W FRANKLIN ST ,04/17/2019 11:39:00 AM,4,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,JLanier
2019-00034711,49 PAVILION AVE,04/17/2019 11:26:00 AM,4,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,ECuri
2019-00034685,2 GLASGOW ST,04/17/2019 09:57:00 AM,4,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station
2019-00034676,STEEPLE ST & CANAL ST,04/17/2019 08:59:29 AM,4,2019,Article Found,Not Used,No violations,0,BCorcoran
2019-00034668,1 DORRANCE PLZ,04/17/2019 08:50:00 AM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MChasse
2019-00034662,24 PRISCILLA AVE,04/17/2019 08:30:00 AM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ITavarez
2019-00034662,24 PRISCILLA AVE,04/17/2019 08:30:00 AM,4,2019,RI Statute Violation,12-29-4,VIOLATION -NO CONTACT ORDER,1,ITavarez
2019-00034661,122 MT PLEASANT AVE,04/17/2019 08:07:00 AM,4,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JO
2019-00034656,160 BROAD ST,04/17/2019 07:48:00 AM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,PSalmons
2019-00034619,81 WASHINGTON AVE,04/17/2019 12:29:00 AM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034618,124 SNOW ST,04/17/2019 12:22:00 AM,4,2019,Request for Assistance,Not Used,No violations,0,AMoore
2019-00034605,MITCHELL ST & MELROSE ST,04/16/2019 11:01:00 PM,4,2019,Murder\Manslaughter,11-23-1,MURDER-1ST DEGREE,1,DO'Connell
2019-00034596,MEETING ST & HOPE ST,04/16/2019 10:18:58 PM,4,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,VPazzetta
2019-00034592,244 WASHINGTON AVE,04/16/2019 10:11:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034590,380 HOPE ST,04/16/2019 10:03:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034589,380 HOPE ST,04/16/2019 10:03:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034583,19 BANCROFT ST,04/16/2019 09:34:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,DPreston
2019-00034579,BROAD ST & PORTLAND ST,04/16/2019 09:27:00 PM,4,2019,"Assault, Aggravated",11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY - SERIOUS INJURY,1,DHernandez
2019-00034573,100 BROAD ST,04/16/2019 09:10:00 PM,4,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,MMena-Torres
2019-00034564,24 TAPPAN ST,04/16/2019 08:39:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034554,71 SILVER LAKE AVE,04/16/2019 08:05:00 PM,4,2019,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,MMcGloin
2019-00034554,71 SILVER LAKE AVE,04/16/2019 08:05:00 PM,4,2019,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,MMcGloin
2019-00034551,145 CHAD BROWN ST,04/16/2019 07:39:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,GValletta
2019-00034542,32 TANNER ST,04/16/2019 06:58:00 PM,4,2019,Request for Assistance,Not Used,No violations,0,ASchneider
2019-00034532,24 TAPPAN ST,04/16/2019 06:48:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034529,46 BRIGHTON ST,04/16/2019 06:40:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,YGonzalez
2019-00034527,WEBSTER AVE & PLAINFIELD ST,04/16/2019 06:30:00 PM,4,2019,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,INerney
2019-00034526,109 WADSWORTH ST,04/16/2019 06:24:00 PM,4,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,LPelaez
2019-00034520,24 TAPPAN ST,04/16/2019 06:19:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034499,RESERVOIR AVENUE ,04/16/2019 05:26:00 PM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034496,613 CRANSTON ST,04/16/2019 05:20:00 PM,4,2019,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,MMena-Torres
2019-00034489,11 W  PARK ST,04/16/2019 05:09:00 PM,4,2019,Article Found,Not Used,No violations,0,Central Station
2019-00034488,71 HARRIET ST,04/16/2019 05:08:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034485,1 VALLEY ST,04/16/2019 05:01:00 PM,4,2019,Tresspassing,11-44-26.1,WILFULL TRESPASS IN SCHOOL BUILDINGS,1,LMarroquin
2019-00034484,202 PAVILION AVE,04/16/2019 04:35:00 PM,4,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DHernandez
2019-00034467,244 WASHINGTON AVE,04/16/2019 04:21:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034463,593 EDDY ST,04/16/2019 04:10:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ASchneider
2019-00034452,154 BABCOCK ST,04/16/2019 03:53:35 PM,4,2019,Article Found,Not Used,No violations,0,JCotugno
2019-00034443,24 TAPPAN ST,04/16/2019 03:36:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034445,9 LEAH ST,04/16/2019 03:35:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,CCastagliuolo
2019-00034440,104 OAKLAND AVE,04/16/2019 03:21:00 PM,4,2019,Auto Towed,Not Used,Parking or MV Violation,0,GValletta
2019-00034438,51 SILVER SPRING ST,04/16/2019 03:15:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034436,107 PAUL ST,04/16/2019 03:07:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034432,30 LENOX AVE,04/16/2019 02:42:00 PM,4,2019,Larceny from Motor Vehicle,11-41-6,ATTEMPTED LARCENY/U $1500 - FROM MV,1,Central Station
2019-00034430,1 SABIN ST,04/16/2019 02:28:00 PM,4,2019,Auto Towed,Not Used,Parking or MV Violation,0,MChasse
2019-00034424,11 CURTIS ST,04/16/2019 02:03:00 PM,4,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ITavarez
2019-00034421,2 COLLEGE ST,04/16/2019 01:56:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034420,1 PROVIDENCE PL,04/16/2019 01:53:00 PM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034419,481 ANGELL ST,04/16/2019 01:49:43 PM,4,2019,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,BCorcoran
2019-00034417,136 STANSBURY ST,04/16/2019 01:48:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034415,PLAINFIELD ST & POCASSET AVE,04/16/2019 01:42:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034410,THAYER STREET ,04/16/2019 01:18:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034403,23 SUMTER ST,04/16/2019 12:59:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034409,345 BLACKSTONE BLVD,04/16/2019 12:57:23 PM,4,2019,Missing Persons,Not Used,No violations,0,WHutchinson
2019-00034402,1000 ELMWOOD AVE,04/16/2019 12:56:07 PM,4,2019,Article Found,Not Used,No violations,0,KWigginton
2019-00034398,270 BROAD ST,04/16/2019 12:53:00 PM,4,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,AFrancis
2019-00034404,39 CURTIS ST,04/16/2019 12:50:54 PM,4,2019,Auto Towed,Not Used,Parking or MV Violation,0,ITavarez
2019-00034407,128 BELLEVUE AVE,04/16/2019 12:45:16 PM,4,2019,Pornography,11-64-2(B),VIDEO VOYEURISM - DISTRIBUTES,1,TGomes
2019-00034396,1 PROVIDENCE PL,04/16/2019 12:39:00 PM,4,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,AHampton
2019-00034386,16 AFRICA ST,04/16/2019 12:17:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034385,BASSETT ST & HOSPITAL ST,04/16/2019 12:16:24 PM,4,2019,Weapons,Not Used,No violations,0,AElie
2019-00034382,285 NIAGARA ST,04/16/2019 12:02:32 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MMaycock
2019-00034377,380 HOPE ST,04/16/2019 11:48:00 AM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034374,20 KELLEY ST,04/16/2019 11:45:00 AM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034364,48 AYRAULT ST,04/16/2019 11:06:00 AM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034358,66 WISDOM AVE,04/16/2019 10:33:00 AM,4,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,GScarcello
2019-00034354,SACKETT STREET ,04/16/2019 10:18:00 AM,4,2019,Article Found,Not Used,No violations,0,Central Station
2019-00034350,52 PINE ST,04/16/2019 10:09:00 AM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,JSimoneau
2019-00034352,5 EXCHANGE ST ,04/16/2019 10:01:24 AM,4,2019,Disturbance,Not Used,No violations,0,AElie
2019-00034342,190 BELLEVUE AVE,04/16/2019 09:36:00 AM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034341,52 CALLAN ST,04/16/2019 09:29:00 AM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034336,331 JASTRAM ST,04/16/2019 08:53:37 AM,4,2019,Article Found,Not Used,No violations,0,JKane
2019-00034326,3 HAMMOND ST,04/16/2019 08:45:00 AM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034319,46 SPOONER ST,04/16/2019 07:48:48 AM,4,2019,Disturbance,Not Used,No violations,0,KWigginton
2019-00034312,14 WHELAN RD,04/16/2019 07:19:00 AM,4,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,IYousif
2019-00034300,5 DRESSER ST,04/16/2019 03:32:00 AM,4,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LVadney
2019-00034292,579 ATWELLS AVE,04/16/2019 02:14:00 AM,4,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MLuke
2019-00034290,ATWELLS AVE & ACADEMY AVE,04/16/2019 02:11:00 AM,4,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,WSherrill
2019-00034282,DOUGLAS/VALE ,04/16/2019 01:31:00 AM,4,2019,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,SCampbell
2019-00034284,58 MOORE ST,04/16/2019 01:31:00 AM,4,2019,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,PHourahan
2019-00034273,200 UNION AVE,04/16/2019 12:48:00 AM,4,2019,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,SComella
2019-00034273,200 UNION AVE,04/16/2019 12:48:00 AM,4,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,SComella
2019-00034267,DOUGLAS AVE & WHIPPLE ST,04/16/2019 12:34:00 AM,4,2019,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,SCampbell
2019-00034257,1228 BROAD ST,04/15/2019 11:52:00 PM,4,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,FTavares
2019-00034257,1228 BROAD ST,04/15/2019 11:52:00 PM,4,2019,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,FTavares
2019-00034257,1228 BROAD ST,04/15/2019 11:52:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,FTavares
2019-00034257,1228 BROAD ST,04/15/2019 11:52:00 PM,4,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,FTavares
2019-00034254,575 UNION AVE,04/15/2019 11:49:00 PM,4,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
2019-00034255,80 SEAMANS ST,04/15/2019 11:45:00 PM,4,2019,RI Statute Violation,15-15-3,VIOLATION OF PROTECTIVE ORDER,1,PCaminero
2019-00034255,80 SEAMANS ST,04/15/2019 11:45:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,PCaminero
2019-00034244,95  & ATWELLS AVE,04/15/2019 10:45:00 PM,4,2019,Traffic Violation,31-22-9,Throwing Debris on Highway - Creating Hazard,1,MMena-Torres
2019-00034245,342 ELMWOOD AVE,04/15/2019 10:38:00 PM,4,2019,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,MRudolph
2019-00034230,51 SILVER SPRING ST,04/15/2019 10:00:37 PM,4,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MDuffy
2019-00034230,51 SILVER SPRING ST,04/15/2019 10:00:37 PM,4,2019,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,MDuffy
2019-00034225,34 MILO ST,04/15/2019 09:43:00 PM,4,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,GSion
2019-00034229,POCASSET AVE & PLAINFIELD ST,04/15/2019 09:34:00 PM,4,2019,DUI,31-27-2.1,Chemical Test Refusal,1,CVingi
2019-00034229,POCASSET AVE & PLAINFIELD ST,04/15/2019 09:34:00 PM,4,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,CVingi
2019-00034219,HUXLEY AVE ,04/15/2019 09:27:00 PM,4,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station
2019-00034205,1 PROVIDENCE PL,04/15/2019 08:46:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,NManfredi
2019-00034206,575 CHARLES ST,04/15/2019 08:45:00 PM,4,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SMarmas
2019-00034201,21 PENN ST,04/15/2019 08:30:00 PM,4,2019,Municipal Code Violation,Sec. 16-3.C,Disorderly Conduct C - Fighting Words,1,Central Station
2019-00034202,66 WHITEHALL ST,04/15/2019 08:16:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,TManzotti
2019-00034194,31 BISMARK ST,04/15/2019 08:09:00 PM,4,2019,Request for Assistance,Not Used,No violations,0,Central Station
2019-00034188,BERGEN ST & REGENT AVE,04/15/2019 07:44:00 PM,4,2019,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MCamardo
2019-00034182,264 GALLATIN ST,04/15/2019 07:11:00 PM,4,2019,Request for Assistance,Not Used,No violations,0,PHourahan
2019-00034175,380 HOPE ST,04/15/2019 06:53:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034165,BROAD STREET ,04/15/2019 06:24:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034161,51 SILVER SPRING ST,04/15/2019 06:00:00 PM,4,2019,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,SMarmas
2019-00034158,380 HOPE ST,04/15/2019 05:59:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034156,140 PITMAN ST,04/15/2019 05:55:00 PM,4,2019,Request for Assistance,Not Used,No violations,0,Central Station
2019-00034150,24 TAPPAN ST,04/15/2019 05:43:00 PM,4,2019,Missing Persons,Not Used,No violations,0,Central Station
2019-00034129,260 PEARL ST,04/15/2019 04:46:00 PM,4,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ASchneider
2019-00034126,PEARL ST & BROAD ST,04/15/2019 04:45:00 PM,4,2019,Municipal Code Violation,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",1,MGuerette
2019-00034126,PEARL ST & BROAD ST,04/15/2019 04:45:00 PM,4,2019,"Assault, Threats",11-42-4,THREATS TO PUBLIC OFFICIALS,1,MGuerette
2019-00034126,PEARL ST & BROAD ST,04/15/2019 04:45:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MGuerette
2019-00034126,PEARL ST & BROAD ST,04/15/2019 04:45:00 PM,4,2019,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,MGuerette
2019-00034117,280 BROAD ST,04/15/2019 04:12:00 PM,4,2019,Municipal Code Violation,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",1,JLeone
2019-00034116,BROADWAY  & EMPIRE ST,04/15/2019 04:10:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2019-00034109,1070 BROAD ST,04/15/2019 04:00:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034108,228 SARATOGA ST,04/15/2019 03:52:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034107,WEST EXCHANGE STREET ,04/15/2019 03:45:00 PM,4,2019,Lost Article,Not Used,No violations,0,Central Station
2019-00034105,218 REGENT AVE,04/15/2019 03:34:00 PM,4,2019,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,APerez
2019-00034104,BROAD ST & HAYWARD ST,04/15/2019 03:31:00 PM,4,2019,Municipal Code Violation,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",1,JLeone
2019-00034093,12 ASHTON ST,04/15/2019 03:00:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,
2019-00034080,60 VALLEY ST,04/15/2019 02:19:00 PM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034069,200 ADMIRAL ST,04/15/2019 01:55:00 PM,4,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTella
2019-00034070,128 WENDELL ST,04/15/2019 01:55:00 PM,4,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station
2019-00034072,4 CATHEDRAL SQ,04/15/2019 01:53:00 PM,4,2019,D.O.A.,Not Used,No violations,0,
2019-00034063,390 BROADWAY ,04/15/2019 01:32:00 PM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034062,49 BRATTLE ST,04/15/2019 01:28:00 PM,4,2019,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2019-00034064,380 VALLEY ST,04/15/2019 01:25:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,GScarcello
2019-00034059,307 ALLENS AVE,04/15/2019 01:16:00 PM,4,2019,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,KShea
2019-00034059,307 ALLENS AVE,04/15/2019 01:16:00 PM,4,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KShea
2019-00500518,55 DORRANCE ST,04/15/2019 01:15:21 PM,4,2019,RI Statute Violation,11-35-17,CRANK OR OBSCENE PHONE CALLS - ALL OTH OFFENSE,1,MCute
2019-00034054,THAYER ST & MEETING ST,04/15/2019 12:56:00 PM,4,2019,Article Found,Not Used,No violations,0,TCalandra
2019-00034052,44 WARREN ST,04/15/2019 12:56:00 PM,4,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,JNajarian
2019-00034048,129 VEAZIE ST,04/15/2019 12:36:00 PM,4,2019,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,AChin
2019-00034042,100 BROAD ST,04/15/2019 12:24:00 PM,4,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station
2019-00034038,601 CRANSTON ST,04/15/2019 12:15:46 PM,4,2019,Trespass,Not Used,No violations,0,TRichards
