CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2018-00122753,WEYBOSSET ST & UNION ST,11/23/2018 12:04:00 AM,11,2018,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,
2018-00122809,283 JASTRAM ST,11/23/2018 07:27:00 AM,11,2018,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,
2018-00125173,90 FLORENCE ST,11/30/2018 05:28:00 PM,11,2018,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,
2018-00125727,71 RICHMOND ST,12/02/2018 04:15:00 AM,12,2018,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,
2018-00125789,325 WASHINGTON ST,12/02/2018 12:22:00 PM,12,2018,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,
2018-00127089,170 CAMDEN AVE,12/06/2018 10:10:00 AM,12,2018,D.O.A.,Not Used,No violations,0,
2018-00127177,8 POPLAR ST,12/06/2018 03:13:00 PM,12,2018,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,
2018-00127341,825 CHALKSTONE AVE,12/07/2018 01:26:00 AM,12,2018,Medical Aid,Not Used,No violations,0,
2018-00127911,17 RING ST,12/08/2018 06:04:00 PM,12,2018,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,
2018-00128171,4 RICHMOND SQ,12/09/2018 03:27:00 PM,12,2018,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,
2018-00128940,318 CHALKSTONE AVE,12/11/2018 07:00:00 PM,12,2018,Prostitution,11-34-8,LOITERING FOR INDECENT PURPOSES PROSTITUTION - PROSTITUTION,1,
2018-00130941,RALPH ST & EASTWOOD AVE,12/17/2018 07:01:00 PM,12,2018,Robbery,11-39-1,ROBBERY-1ST DEGREE,2,
2018-00130941,RALPH ST & EASTWOOD AVE,12/17/2018 07:01:00 PM,12,2018,Bad Checks,11-1-6,CONSPIRACY - BAD CHECK,1,
2019-00008273,52 PINE ST,01/27/2019 01:04:00 AM,1,2019,Motor Vehicle Theft,Not Used,No violations,0,
2019-00008339,254 WASHINGTON ST,01/27/2019 04:44:00 AM,1,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,
2019-00008500,890 DOUGLAS AVE,01/27/2019 05:55:00 PM,1,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,
2019-00008570,79 ELMWOOD AVE,01/27/2019 11:26:00 PM,1,2019,Stolen Vehicle\Recovered,Not Used,No violations,0,
2019-00007849,234 WASHINGTON ST,01/25/2019 10:28:00 PM,1,2019,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,
2019-00010586,111 WESTMINSTER ST,02/02/2019 11:34:00 PM,2,2019,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,
2019-00010718,29 MASSIE AVE,02/03/2019 10:12:00 AM,2,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,
2019-00011631,76 DORRANCE ST,02/06/2019 06:08:00 AM,2,2019,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,
2019-00012676,99 KENNEDY PLZ,02/09/2019 02:38:00 AM,2,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,
2019-00002776,100 WESTMINSTER ST,01/10/2019 01:38:00 AM,1,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,
2019-00015910,160 CRANSTON ST,02/19/2019 01:17:00 PM,2,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,
2019-00016399,136 KNIGHT ST,02/21/2019 12:09:00 AM,2,2019,Missing Persons,Not Used,No violations,0,
2019-00017614,24 TAPPAN ST,02/24/2019 06:19:00 PM,2,2019,Missing Persons,Not Used,No violations,0,
2019-00019620,1 LASALLE SQ,03/03/2019 12:41:00 AM,3,2019,Accident,Not Used,No violations,0,
2019-00019661,UNION ST & WASHINGTON ST,03/03/2019 02:30:00 AM,3,2019,Disturbance,Not Used,No violations,0,
2019-00019678,11 DORRANCE ST,03/03/2019 03:20:00 AM,3,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,
2018-00104817,BROADWAY  & ATWELLS AVE,10/03/2018 06:01:00 PM,10,2018,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2018-00102144,200 DYER ST,09/26/2018 04:44:00 PM,9,2018,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2018-00101426,RAYMOND ST & VALLEY ST,09/24/2018 04:40:00 PM,9,2018,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,MTroia
2018-00101426,RAYMOND ST & VALLEY ST,09/24/2018 04:40:00 PM,9,2018,DUI,31-27-2.1,Chemical Test Refusal,1,MTroia
2018-00101426,RAYMOND ST & VALLEY ST,09/24/2018 04:40:00 PM,9,2018,Traffic Violation,31-15-12,Interval Between Vehicles - Following too Close,1,MTroia
2018-00101426,RAYMOND ST & VALLEY ST,09/24/2018 04:40:00 PM,9,2018,Traffic Violation,31-23.3-5,Windshield/Window - Owner/Operating w/Unlawful Sunscreen Material,1,MTroia
2018-00098963,WASHINGTON ST & DEAN ST,09/18/2018 05:07:00 PM,9,2018,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2018-00096517,DEAN ST & KINSLEY AVE,09/12/2018 05:00:00 PM,9,2018,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2018-00095783,WESTMINSTER ST & DAVE GAVITT WAY,09/10/2018 03:33:00 PM,9,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00094704,1015 BRANCH AVE,09/07/2018 06:18:00 PM,9,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00111796,ACADEMY AVE & BELMONT AVE,10/22/2018 03:53:00 PM,10,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2019-00006699,15 N  DAVIS ST,01/22/2019 04:27:00 PM,1,2019,Auto Towed,Not Used,Parking or MV Violation,0,MTroia
2019-00002920,DAVE GAVITT WAY & WASHINGTON ST,01/10/2019 02:22:00 PM,1,2019,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2019-00000774,BROADWAY  & VINTON ST,01/03/2019 02:13:00 PM,1,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2019-00001163,761 N  MAIN ST,01/04/2019 04:28:00 PM,1,2019,Traffic Violation,31-8-2,Operation of MV When Registration Canceled,1,MTroia
2019-00001534,6 OLNEYVILLE SQ,01/05/2019 07:01:00 PM,1,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,MTroia
2019-00001534,6 OLNEYVILLE SQ,01/05/2019 07:01:00 PM,1,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2019-00001534,6 OLNEYVILLE SQ,01/05/2019 07:01:00 PM,1,2019,DUI,31-27-2.1,Chemical Test Refusal,1,MTroia
2019-00001534,6 OLNEYVILLE SQ,01/05/2019 07:01:00 PM,1,2019,Traffic Violation,31-22-21.1,Presence of Alcoholic Beverage While Operating or Riding in Motor Vehicle,1,MTroia
2019-00001534,6 OLNEYVILLE SQ,01/05/2019 07:01:00 PM,1,2019,Traffic Violation,31-15-1,Right Half of Road,1,MTroia
2018-00134556,PLAINFIELD ST & POCASSET AVE,12/29/2018 02:47:00 PM,12,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00134573,6  & DEAN ST,12/29/2018 04:04:00 PM,12,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00134573,6  & DEAN ST,12/29/2018 04:04:00 PM,12,2018,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2018-00134573,6  & DEAN ST,12/29/2018 04:04:00 PM,12,2018,Traffic Violation,31-8-3,Improper Use of Evidence of Registration or Certificate,1,MTroia
2018-00133985,180 WASHINGTON AVE,12/27/2018 05:29:00 PM,12,2018,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,MTroia
2018-00133985,180 WASHINGTON AVE,12/27/2018 05:29:00 PM,12,2018,DUI,31-27-2.1,Chemical Test Refusal,1,MTroia
2018-00133985,180 WASHINGTON AVE,12/27/2018 05:29:00 PM,12,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00133985,180 WASHINGTON AVE,12/27/2018 05:29:00 PM,12,2018,Traffic Violation,31-27-2.3,Refusal to Submit to a Preliminary Breath Test,1,MTroia
2018-00133985,180 WASHINGTON AVE,12/27/2018 05:29:00 PM,12,2018,Traffic Violation,31-22-2,Restriction on Backing - Improper Backing,1,MTroia
2018-00133985,180 WASHINGTON AVE,12/27/2018 05:29:00 PM,12,2018,Traffic Violation,31-26-4,Duty on Collision with Unattended Vehicle,1,MTroia
2018-00133985,180 WASHINGTON AVE,12/27/2018 05:29:00 PM,12,2018,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,MTroia
2018-00132326,CHAD BROWN ST & MARCH ST,12/21/2018 09:39:00 PM,12,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00132593,DOUGLAS AVE & BERKSHIRE ST,12/22/2018 03:41:00 PM,12,2018,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,MTroia
2018-00130934,BROAD ST & GALLATIN ST,12/17/2018 06:44:00 PM,12,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00129150,VALLEY ST & RIVER AVE,12/12/2018 03:31:00 PM,12,2018,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2018-00129150,VALLEY ST & RIVER AVE,12/12/2018 03:31:00 PM,12,2018,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,MTroia
2018-00129150,VALLEY ST & RIVER AVE,12/12/2018 03:31:00 PM,12,2018,Traffic Violation,31-38-4,Inspection Sticker Required,1,MTroia
2018-00126603,DEAN ST & 6 ,12/04/2018 05:39:00 PM,12,2018,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2019-00017070,VALLEY ST & DELAINE ST,02/23/2019 12:31:00 AM,2,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,MTroia
2019-00017070,VALLEY ST & DELAINE ST,02/23/2019 12:31:00 AM,2,2019,Traffic Violation,31-20-9,Obedience to Stop Sign,1,MTroia
2019-00017070,VALLEY ST & DELAINE ST,02/23/2019 12:31:00 AM,2,2019,Traffic Violation,31-16-5,Turn Signal Required,1,MTroia
2019-00015934,700 WESTMINSTER ST,02/19/2019 02:46:00 PM,2,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,MTroia
2019-00015934,700 WESTMINSTER ST,02/19/2019 02:46:00 PM,2,2019,DUI,31-27-2.1,Chemical Test Refusal,1,MTroia
2019-00015934,700 WESTMINSTER ST,02/19/2019 02:46:00 PM,2,2019,Traffic Violation,31-26-4,Duty on Collision with Unattended Vehicle,1,MTroia
2019-00016339,N  MAIN ST & DOYLE AVE,02/20/2019 06:51:00 PM,2,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2019-00014699,1200 CHALKSTONE AVE,02/15/2019 06:09:00 PM,2,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2019-00014340,HARTFORD AVE & BODELL AVE,02/14/2019 04:07:00 PM,2,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2019-00014376,CRANSTON ST & GILMORE ST,02/14/2019 05:59:00 PM,2,2019,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,MTroia
2019-00014376,CRANSTON ST & GILMORE ST,02/14/2019 05:59:00 PM,2,2019,Traffic Violation,31-8-3,Improper Use of Evidence of Registration or Certificate,1,MTroia
2019-00014376,CRANSTON ST & GILMORE ST,02/14/2019 05:59:00 PM,2,2019,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,MTroia
2019-00014376,CRANSTON ST & GILMORE ST,02/14/2019 05:59:00 PM,2,2019,Drug Offenses,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,1,MTroia
2019-00012859,200 CRANSTON ST,02/09/2019 06:29:00 PM,2,2019,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,MTroia
2019-00012859,200 CRANSTON ST,02/09/2019 06:29:00 PM,2,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,MTroia
2018-00099894,1125 N  MAIN ST,09/21/2018 12:16:01 AM,9,2018,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,KToole
2018-00099894,1125 N  MAIN ST,09/21/2018 12:16:01 AM,9,2018,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KToole
2018-00117800,164 SUMMIT AVE,11/08/2018 05:28:47 AM,11,2018,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KToole
2018-00110275,480 CHARLES ST,10/18/2018 11:30:53 AM,10,2018,Juvenile Matter,Not Used,No violations,0,MTella
2018-00131686,1140 N  MAIN ST,12/19/2018 11:31:24 PM,12,2018,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,KToole
2019-00005597,355 BLACKSTONE BLVD,01/18/2019 11:32:11 PM,1,2019,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,KToole
2018-00130738,252 4TH ST,12/17/2018 06:07:18 AM,12,2018,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,KToole
2018-00130093,585 BLACKSTONE BLVD,12/15/2018 01:40:13 AM,12,2018,RI Statute Violation,11-1-6,CONSPIRACY - ALL OTH OFFENSE,1,KToole
2018-00130093,585 BLACKSTONE BLVD,12/15/2018 01:40:13 AM,12,2018,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,KToole
2018-00122129,1075 N  MAIN ST,11/20/2018 11:27:22 PM,11,2018,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,KToole
2019-00012625,164 SUMMIT AVE,02/09/2019 12:38:45 AM,2,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,KToole
2019-00014154,40 STENTON AVE,02/14/2019 12:00:31 AM,2,2019,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,KToole
2019-00010227,1075 N  MAIN ST,02/01/2019 11:11:33 PM,2,2019,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,KToole
2019-00015518,SMITHFIELD AVE & OVERPASS ,02/18/2019 01:11:37 AM,2,2019,Auto Towed,Not Used,Parking or MV Violation,0,KToole
2019-00016416,164 SUMMIT AVE,02/21/2019 02:05:37 AM,2,2019,Larceny from Motor Vehicle,11-41-6,ATTEMPTED LARCENY/U $1500 - FROM MV,1,KToole
2019-00016416,164 SUMMIT AVE,02/21/2019 02:05:37 AM,2,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KToole
2019-00018350,20 CEMETERY ST,02/27/2019 12:15:57 AM,2,2019,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,KToole
2018-00094495,150 CORLISS ST,09/07/2018 10:39:36 AM,9,2018,Malicious Mischief,Not Used,No violations,0,MTella
2018-00094059,3 HEBRON ST,09/06/2018 08:26:00 AM,9,2018,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTella
2018-00094125,2 MALVERN ST,09/06/2018 11:51:11 AM,9,2018,Request for Assistance,Not Used,No violations,0,MTella
2018-00094124,148 W  RIVER ST,09/06/2018 11:43:34 AM,9,2018,Threats,Not Used,No violations,0,MTella
2018-00096740,16 LUKE ST,09/13/2018 11:36:00 AM,9,2018,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MTella
2018-00096059,331 HAWKINS ST,09/11/2018 01:19:10 PM,9,2018,Juvenile Matter,Not Used,No violations,0,MTella
2018-00103291,69 BATH ST,09/29/2018 01:52:12 PM,9,2018,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,MTella
2018-00104087,51 SILVER SPRING ST,10/01/2018 01:30:17 PM,10,2018,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,MTella
2018-00103664,1200 BROAD ST,09/30/2018 10:54:52 AM,9,2018,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,MTella
2018-00106278,46 SHILOH ST,10/07/2018 07:55:00 AM,10,2018,Malicious Mischief,Not Used,No violations,0,MTella
2018-00106296,51 SILVER SPRING ST,10/07/2018 10:10:49 AM,10,2018,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,MTella
2018-00106283,65 RUSSO ST,10/07/2018 08:24:00 AM,10,2018,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,MTella
2018-00118671,15 N DAVIS ST,11/10/2018 02:16:02 PM,11,2018,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MTella
2018-00119012,58 PINEHURST AVE,11/11/2018 12:05:00 PM,11,2018,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTella
2018-00099185,51 SILVER SPRING ST,09/19/2018 10:45:00 AM,9,2018,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTella
2018-00115001,181 CORLISS ST,10/31/2018 10:47:40 AM,10,2018,RI Statute Violation,15-15-3,VIOLATION OF PROTECTIVE ORDER,1,MTella
2018-00112815,753 CHARLES ST,10/25/2018 01:14:03 PM,10,2018,Auto Towed,Not Used,Parking or MV Violation,0,MTella
2018-00113876,20 RICHTER ST,10/28/2018 08:10:06 AM,10,2018,D.O.A.,Not Used,No violations,0,MTella
2018-00111730,12 HUXLEY ST ,10/22/2018 12:42:41 PM,10,2018,Juvenile Matter,Not Used,No violations,0,MTella
2018-00112454,806 BRANCH AVE ,10/24/2018 01:40:03 PM,10,2018,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTella
2018-00107474,176 CAMDEN AVE,10/10/2018 02:23:24 PM,10,2018,Disturbance,Not Used,No violations,0,MTella
2019-00005110,480 CHARLES ST,01/17/2019 02:06:33 PM,1,2019,Article Found,Not Used,No violations,0,MTella
2019-00003169,480 CHARLES ST,01/11/2019 09:03:40 AM,1,2019,Juvenile Matter,Not Used,No violations,0,MTella
2019-00002913,361 CHARLES ST,01/10/2019 01:57:00 PM,1,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTella
2019-00006337,30 FERNANDO ST ,01/21/2019 11:47:20 AM,1,2019,Disturbance,Not Used,No violations,0,MTella
2019-00006966,480 CHARLES ST,01/23/2019 01:43:14 PM,1,2019,Juvenile Matter,Not Used,No violations,0,MTella
2019-00002579,61 STANSBURY ST,01/09/2019 12:10:37 PM,1,2019,Malicious Mischief,Not Used,No violations,0,MTella
2019-00002923,51 SILVER SPRING ST,01/10/2019 02:29:00 PM,1,2019,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,MTella
2019-00001400,50 ARGOL ST,01/05/2019 10:20:31 AM,1,2019,Auto Towed,Not Used,Parking or MV Violation,0,MTella
2019-00004822,459 CHARLES ST,01/16/2019 01:36:36 PM,1,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTella
2019-00004730,400 CHARLES ST,01/16/2019 08:37:34 AM,1,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTella
2019-00004117,31 CLYM ST,01/14/2019 10:48:44 AM,1,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,MTella
2019-00002893,505 SILVER SPRING ST,01/10/2019 12:50:30 PM,1,2019,Property Damage,Not Used,No violations,0,MTella
2019-00003150,144 DEPINEDO ST,01/11/2019 07:59:45 AM,1,2019,Request for Assistance,Not Used,No violations,0,MTella
2018-00133145,211 GREELEY ST,12/24/2018 12:49:16 PM,12,2018,Threats,Not Used,No violations,0,MTella
